Event,Time
Baseline,"30/05/2021 07:34:22"
"Attempting A","30/05/2021 07:34:41"
"Submitting A","30/05/2021 07:48:44"
"Attempting B","30/05/2021 07:49:27"
"Submitting B","30/05/2021 08:27:34"
"Submitting C","30/05/2021 08:28:19"
"Attempting C","30/05/2021 08:28:23"
"Submitting C","30/05/2021 08:45:24"
"Attempting D","30/05/2021 08:45:57"
